frame,rtt_ms,ts_ns
0,0.0254,686893477112600
1,0.001,686893477164500
2,0.0004,686893477171900
3,0.0003,686893477176000
4,0.0003,686893477179200
5,0.0004,686893477182700
6,0.0003,686893477185900
7,0.0003,686893477189000
8,0.0004,686893477192000
9,0.0003,686893477195300
10,0.0003,686893477198300
11,0.0073,686893507362100
12,0.0005,686893507386400
13,0.0003,686893507392000
14,0.0003,686893507395600
15,0.0003,686893507398900
16,0.0003,686893507402000
17,0.0003,686893507405700
18,0.0004,686893507408900
19,0.0004,686893507412100
20,0.0004,686893507415100
21,0.0003,686893507418300
22,0.0064,686893537043500
23,0.0005,686893537068000
24,0.0003,686893537072000
25,0.0003,686893537075700
26,0.0004,686893537079100
27,0.0003,686893537082400
28,0.0003,686893537086300
29,0.0003,686893537089300
30,0.0003,686893537092200
31,0.0002,686893537095100
32,0.0003,686893537098100
33,0.0066,686893567315300
34,0.0005,686893567336400
35,0.0003,686893567340500
36,0.0003,686893567349300
37,0.0003,686893567352300
38,0.0003,686893567355300
39,0.0002,686893567358200
40,0.0003,686893567361300
41,0.0003,686893567364900
42,0.0003,686893567367800
43,0.0003,686893567370700
44,0.0043,686893587160900
45,0.0007,686893587175900
46,0.0004,686893587179900
47,0.0004,686893587182900
48,0.0003,686893587186200
49,0.0003,686893587189100
50,0.0003,686893587192000
51,0.0002,686893587194900
52,0.0003,686893587198000
53,0.0003,686893587201400
54,0.0003,686893587204600
55,0.0061,686893617134300
56,0.0005,686893617153600
57,0.0003,686893617158000
58,0.0003,686893617161700
59,0.0003,686893617164500
60,0.0003,686893617168400
61,0.0003,686893617171400
62,0.0003,686893617174400
63,0.0003,686893617177500
64,0.0003,686893617180600
65,0.0003,686893617185300
66,0.0074,686893646810300
67,0.0006,686893646834100
68,0.0003,686893646841700
69,0.0004,686893646845200
70,0.0003,686893646848400
71,0.0003,686893646851500
72,0.0003,686893646854500
73,0.0003,686893646857700
74,0.0003,686893646860900
75,0.0003,686893646863900
76,0.0003,686893646867800
77,0.0059,686893677095800
78,0.0005,686893677115200
79,0.0003,686893677119100
80,0.0003,686893677122300
81,0.0003,686893677125500
82,0.0003,686893677128600
83,0.0003,686893677131800
84,0.0004,686893677134900
85,0.0003,686893677138000
86,0.0003,686893677141100
87,0.0003,686893677144100
88,0.0063,686893697109300
89,0.0006,686893697141300
90,0.0003,686893697145200
91,0.0003,686893697148400
92,0.0003,686893697151300
93,0.0003,686893697158500
94,0.0003,686893697161500
95,0.0003,686893697164500
96,0.0003,686893697167400
97,0.0003,686893697170300
98,0.0003,686893697173300
99,0.0079,686893726936500
100,0.0005,686893726967700
101,0.0003,686893726971500
102,0.0003,686893726974500
103,0.0003,686893726977400
104,0.0003,686893726980200
105,0.0003,686893726983300
106,0.0003,686893726986300
107,0.0002,686893726989300
108,0.0003,686893726997900
109,0.0003,686893727003700
110,0.0056,686893757264600
111,0.0007,686893757283600
112,0.0003,686893757287700
113,0.0003,686893757290700
114,0.0003,686893757293600
115,0.0002,686893757296400
116,0.0003,686893757299300
117,0.0003,686893757302200
118,0.0003,686893757305000
119,0.0003,686893757307800
120,0.0003,686893757311100
121,0.0124,686893787676600
122,0.0006,686893787706500
123,0.0003,686893787712100
124,0.0003,686893787715500
125,0.0004,686893787718700
126,0.0003,686893787722100
127,0.0003,686893787725000
128,0.0003,686893787728000
129,0.0003,686893787733500
130,0.0003,686893787736500
131,0.0003,686893787739500
132,0.0059,686893807265100
133,0.0006,686893807286700
134,0.0003,686893807291000
