frame,rtt_ms,ts_ns
0,0.0217,687017978988000
1,0.0011,687017979038200
2,0.0004,687017979045700
3,0.0004,687017979049800
4,0.0003,687017979053200
5,0.0003,687017979057300
6,0.0003,687017979060500
7,0.0003,687017979063700
8,0.0003,687017979066700
9,0.0003,687017979070000
10,0.0003,687017979072900
11,0.0107,687018009452200
12,0.0019,687018009494800
13,0.0015,687018009512200
14,0.0013,687018009525000
15,0.0012,687018009536600
16,0.0012,687018009547600
17,0.0012,687018009559900
18,0.0015,687018009595500
19,0.0012,687018009607900
20,0.0012,687018009619000
21,0.0012,687018009630000
22,0.0072,687018039106400
23,0.0006,687018039129200
24,0.0003,687018039133400
25,0.0003,687018039137100
26,0.0003,687018039140700
27,0.0003,687018039144200
28,0.0003,687018039148300
29,0.0003,687018039151300
30,0.0003,687018039154200
31,0.0003,687018039157100
32,0.0003,687018039160000
33,0.0068,687018069358000
34,0.0006,687018069380600
35,0.0004,687018069384800
36,0.0004,687018069388300
37,0.0003,687018069391600
38,0.0003,687018069399800
39,0.0003,687018069403100
40,0.0003,687018069406300
41,0.0003,687018069410100
42,0.0003,687018069414500
43,0.0003,687018069417700
44,0.0061,687018089285200
45,0.0007,687018089305000
46,0.0003,687018089308900
47,0.0003,687018089312300
48,0.0003,687018089315300
49,0.0003,687018089318300
50,0.0002,687018089321300
51,0.0003,687018089324400
52,0.0003,687018089327400
53,0.0004,687018089331000
54,0.0002,687018089334000
55,0.007,687018118873100
56,0.0006,687018118895800
57,0.0004,687018118900200
58,0.0003,687018118904300
59,0.0003,687018118907400
60,0.0003,687018118911600
61,0.0004,687018118914500
62,0.0002,687018118917500
63,0.0003,687018118920600
64,0.0003,687018118923600
65,0.0003,687018118928500
66,0.0065,687018148889600
67,0.0005,687018148910500
68,0.0003,687018148914400
69,0.0004,687018148917700
70,0.0003,687018148920700
71,0.0003,687018148923600
72,0.0003,687018148926500
73,0.0003,687018148929400
74,0.0003,687018148933800
75,0.0003,687018148936800
76,0.0002,687018148939700
77,0.0066,687018179115200
78,0.0006,687018179136500
79,0.0003,687018179140400
80,0.0003,687018179143600
81,0.0003,687018179146600
82,0.0003,687018179149500
83,0.0003,687018179152300
84,0.0002,687018179155100
85,0.0003,687018179158100
